feature,free,bronze,silver,gold,platinum,custom
Features,Free,Bronze,Silver,Gold,Platinum,Custom
Monthly Leads,5,50,125,292,Unlimited,Custom
Lead Scraping,—,✔️,✔️,✔️,✔️,✔️
Access to Contact Info,—,✔️,✔️,✔️,✔️,✔️
Live Dashboard Analytics,✔️,✔️,✔️,✔️,✔️,✔️
Export to CSV/Excel,—,✔️,✔️,✔️,✔️,✔️
Advanced Filters,—,—,✔️,✔️,✔️,✔️
AI Tools (Email Generation),—,—,✔️,✔️,✔️,✔️
Priority Support,—,—,—,✔️,✔️,✔️
Lead Filters,—,✔️,✔️,✔️,✔️,✔️
Revenue Estimate,✔️,✔️,✔️,✔️,✔️,✔️
Price,$0/mo,$19/mo,$49/mo,$99/mo,$199/mo,Custom
N/A,Continue Free,Buy now,Buy now,Coming Soon,Coming Soon,Contact Sales
PRICE,$0/mo,$19/mo,$49/mo,$99/mo,$199/mo,Custom
